OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
65,0711-003,THALIA RD,DUTCH ST,VIRGINIA BEACH BL (WB),Collector,0711-003 THALIA RD From DUTCH ST To VIRGINIA BEACH BL (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,47,2,1999/03/25 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,95327,0.11326738,598.05,2024/08/21 21:27:27+00,2025,0.34,2024/09/09 18:16:58+00,228.481232731863
66,2435-002,FIR AV N,DUTCH ST,VIRGINIA BEACH BL (WB),Local,2435-002 FIR AV N From DUTCH ST To VIRGINIA BEACH BL (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,74,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,25963,0.09964962,526.15,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,201.016769392528
67,6045-006,BONNEY RD (EB),BUDDING AV S,BOGGS AV S,Collector,6045-006 BONNEY RD (EB) From BUDDING AV S To BOGGS AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,22,15436,49,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89716,0.17159988,906.05,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,344.663855095868
68,6045-004,BONNEY RD (EB),BENDIX RD,FIR AV S,Collector,6045-004 BONNEY RD (EB) From BENDIX RD To FIR AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,25,15436,65,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,,0.31128033,1643.56,2024/08/21 21:27:27+00,2025,0.65,2024/09/09 18:16:58+00,625.665941318178
69,2728-001,GUM AV S,BONNEY RD (WB),TILLMAN DR,Local,2728-001 GUM AV S From BONNEY RD (WB) To TILLMAN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,67,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,26045,0.09157462,483.51,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,184.715908720822
70,0015-012,BONNEY RD (WB),PALM AV S,GUM AV S,Collector,0015-012 BONNEY RD (WB) From PALM AV S To GUM AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,23,15436,74,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89709,0.06661213,351.71,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,133.921515176054
71,6045-007,BONNEY RD (EB),BOGGS AV S,RUNAWAY BAY DR,Collector,6045-007 BONNEY RD (EB) From BOGGS AV S To RUNAWAY BAY DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,26,15436,82,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89717,0.17013604,898.32,2024/08/21 21:27:27+00,2025,0.37,2024/09/09 18:16:58+00,341.72409469714
72,0015-006,BONNEY RD (WB),MAJESTIC CI,BOGGS AV S,Collector,0015-006 BONNEY RD (WB) From MAJESTIC CI To BOGGS AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,26,15436,67,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89702,0.05615857,296.52,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,112.796373804303
73,0015-005,BONNEY RD (WB),PRESCOTT AV,MAJESTIC CI,Collector,0015-005 BONNEY RD (WB) From PRESCOTT AV To MAJESTIC CI,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,26,15436,62,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,28374,0.11522752,608.4,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,231.438978279222
74,6045-008,BONNEY RD (EB),RUNAWAY BAY DR,KENTUCKY AV S,Collector,6045-008 BONNEY RD (EB) From RUNAWAY BAY DR To KENTUCKY AV S,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,24,15436,89,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89718,0.1040954,549.62,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,209.079827107304
75,4301-001,PRESCOTT AV,BONNEY RD (WB),N CUL-DE-SAC,Local,4301-001 PRESCOTT AV From BONNEY RD (WB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,62,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,26652,0.0704107,371.77,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,142.027933002461
76,0015-004,BONNEY RD (WB),KENTUCKY AV S,PRESCOTT AV,Collector,0015-004 BONNEY RD (WB) From KENTUCKY AV S To PRESCOTT AV,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,24,15436,76,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,28373,0.10567745,557.98,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,212.257808169146
77,0969-002,ASH AVE,THALIA STATION CI,THALIA STATION CI,Local,0969-002 ASH AVE From THALIA STATION CI To THALIA STATION CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,68,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89428,0.0502963,265.56,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,101.457192927264
78,0969-003,ASH AVE,THALIA STATION CI,DUTCH ST,Local,0969-003 ASH AVE From THALIA STATION CI To DUTCH ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,70,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,F07,89429,0.04325989,228.41,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,87.2642527479036
79,1845-006,CONSTITUTION DR (SB),START CONSTITUTION DR BRIDGE,END CONSTITUTION DR BRIDGE,Collector,1845-006 CONSTITUTION DR (SB) From START CONSTITUTION DR BRIDGE To END CONSTITUTION DR BRIDGE,CITY MAINTAINED VDOT FUNDED,25,BRIDGE,24,0,,2,2010/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1875252,0.05482824,289.49,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,110.207573690508
80,1845-004,CONSTITUTION DR (SB),CARAPACE LA,GENOA DR,Collector,1845-004 CONSTITUTION DR (SB) From CARAPACE LA To GENOA DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,68,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1875250,0.03882682,205.01,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,78.2777014698649
81,0021-001B,CONSTITUTION DR (NB),END BRIDGE,CASTILIAN DR,Local,0021-001B CONSTITUTION DR (NB) From END BRIDGE To CASTILIAN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,85,2,2010/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,1875090,0.01278663,67.51,2024/08/21 21:27:27+00,2025,0.03,2024/09/09 18:16:58+00,25.6962356248926
82,0021-004B,CONSTITUTION DR (NB),MAIN ST,VIRGINIA BEACH BL (WB),Collector,0021-004B CONSTITUTION DR (NB) From MAIN ST To VIRGINIA BEACH BL (WB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,40,7676,80,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,937477,0.08824658,465.94,2024/08/21 21:27:27+00,2025,0.29,2024/09/09 18:16:58+00,178.014357082224
83,0021-004A,CONSTITUTION DR (NB),COLUMBUS ST (WB),MAIN ST,Collector,0021-004A CONSTITUTION DR (NB) From COLUMBUS ST (WB) To MAIN ST,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,37,7676,41,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,767801,0.07948597,419.69,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,160.339729546453
84,0021-004,CONSTITUTION DR (NB),START MEDIAN,COLUMBUS ST (WB),Collector,0021-004 CONSTITUTION DR (NB) From START MEDIAN To COLUMBUS ST (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,35,5235,48,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,90692,0.07819024,412.84,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,157.72351733249
85,2558-001,MARKET ST,GARRETT ST,COLUMBUS ST (EB),Local,2558-001 MARKET ST From GARRETT ST To COLUMBUS ST (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,48,0,77,4,1998/12/31 05:00:00+00,TOWN CENTER,District 4,E07,20407,0.05487902,289.76,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,110.698457872048
86,2558-004,MARKET ST,BANK ST,VIRGINIA BEACH BL (WB),Local,2558-004 MARKET ST From BANK ST To VIRGINIA BEACH BL (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,63,4,1998/12/31 05:00:00+00,TOWN CENTER,District 4,E07,1279466,0.05623807,296.94,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,113.446302267196
87,2558-003,MARKET ST,COMMERCE ST,BANK ST,Local,2558-003 MARKET ST From COMMERCE ST To BANK ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,75,4,1998/12/31 05:00:00+00,TOWN CENTER,District 4,E07,1279465,0.05597517,295.55,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,112.914421475618
88,2558-002,MARKET ST,COLUMBUS ST (EB),COMMERCE ST,Local,2558-002 MARKET ST From COLUMBUS ST (EB) To COMMERCE ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,64,4,1998/12/31 05:00:00+00,TOWN CENTER,District 4,E07,20406,0.06405073,338.19,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,129.203204881761
89,6741-001,CENTRAL PARK AV,COLUMBUS ST (WB),MAIN ST,Local,6741-001 CENTRAL PARK AV From COLUMBUS ST (WB) To MAIN ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,48,0,87,2,2002/12/01 05:00:00+00,TOWN CENTER,District 4,E07,1159338,0.08150828,430.36,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,164.419482771475
90,6742-002,MAIN ST,TOWN CENTER DR,CENTRAL PARK AV,Local,6742-002 MAIN ST From TOWN CENTER DR To CENTRAL PARK AV,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,89,2,2002/12/01 05:00:00+00,TOWN CENTER,District 4,E07,1159336,0.06558684,346.3,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,131.735448780425
91,6740-001,TOWN CENTER DR,COLUMBUS ST (WB),MAIN ST,Local,6740-001 TOWN CENTER DR From COLUMBUS ST (WB) To MAIN ST,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,42,0,71,2,2002/12/01 05:00:00+00,TOWN CENTER,District 4,E07,1159337,0.08945799,472.34,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,180.455437788098
92,6740-002,TOWN CENTER DR,MAIN ST,VIRGINIA BEACH BL (EB),Local,6740-002 TOWN CENTER DR From MAIN ST To VIRGINIA BEACH BL (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,46,0,93,2,2002/12/01 05:00:00+00,TOWN CENTER,District 4,E07,767827,0.08615068,454.88,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,173.786718582442
93,1845-001B,CONSTITUTION DR (SB),MAIN ST,COLUMBUS ST (EB),Collector,1845-001B CONSTITUTION DR (SB) From MAIN ST To COLUMBUS ST (EB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,34,7676,82,2,1998/10/21 04:00:00+00,TOWN CENTER,District 4,E07,1267126,0.08704719,459.61,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,175.592087735334
94,6741-002,CENTRAL PARK AV,MAIN ST,VIRGINIA BEACH BL (EB),Local,6741-002 CENTRAL PARK AV From MAIN ST To VIRGINIA BEACH BL (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,46,0,72,2,2002/12/01 05:00:00+00,TOWN CENTER,District 4,E07,767828,0.08595142,453.82,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,173.384943834117
95,7000-003,CARAPACE DR,ISABELLA LA,FERDINAND CI,Local,7000-003 CARAPACE DR From ISABELLA LA To FERDINAND CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,63,0,63,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,,0.03313595,174.96,2024/08/21 21:27:27+00,2025,0.17,2024/09/09 18:16:58+00,66.5534722033189
96,0015-014,BONNEY RD (WB),CONSTITUTION DR (NB),INDEPENDENCE BL (NB),Collector,0015-014 BONNEY RD (WB) From CONSTITUTION DR (NB) To INDEPENDENCE BL (NB),CITY MAINTAINED VDOT FUNDED,35,ASPHALT,35,15436,64,2,1899/12/30 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,324972,0.69897895,3690.61,2024/08/21 21:27:27+00,2025,2.04,2024/09/09 18:16:58+00,1406.08807279825
97,1845-003,CONSTITUTION DR (SB),COLUMBUS ST (EB),CARAPACE LA,Collector,1845-003 CONSTITUTION DR (SB) From COLUMBUS ST (EB) To CARAPACE LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,68,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,90713,0.12949489,683.73,2024/08/21 21:27:27+00,2025,0.39,2024/09/09 18:16:58+00,261.212141179622
98,0021-003,CONSTITUTION DR (NB),LISBON LA,START MEDIAN,Local,0021-003 CONSTITUTION DR (NB) From LISBON LA To START MEDIAN,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,40,5235,76,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,90691,0.05708966,301.43,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,115.157446825216
99,6045-002,BONNEY RD (EB),END MEDIAN,002500 FT,Collector,6045-002 BONNEY RD (EB) From END MEDIAN To 002500 FT,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,26,15436,52,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,89713,0.45634902,2409.52,2024/08/21 21:27:27+00,2025,0.99,2024/09/09 18:16:58+00,918.179410931659
100,6045-001,BONNEY RD (EB),INDEPENDENCE BL (NB),END MEDIAN,Collector,6045-001 BONNEY RD (EB) From INDEPENDENCE BL (NB) To END MEDIAN,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,39,15436,61,2,1998/10/20 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,89712,0.06635954,350.38,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,133.496216031917
101,0021-001C,CONSTITUTION DR (NB),CASTILIAN DR,GENOA DR,Local,0021-001C CONSTITUTION DR (NB) From CASTILIAN DR To GENOA DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,5235,84,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,90689,0.09840531,519.58,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,197.906471879946
102,0021-002,CONSTITUTION DR (NB),GENOA DR,LISBON LA,Local,0021-002 CONSTITUTION DR (NB) From GENOA DR To LISBON LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,5235,82,2,1998/10/21 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,90690,0.0369509,195.1,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,74.4897680946734
103,7000-002,CARAPACE DR,NINA DR,ISABELLA LA,Local,7000-002 CARAPACE DR From NINA DR To ISABELLA LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,17,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,96199,0.06868263,362.64,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,137.949410633548
104,7000-001,CARAPACE DR,CONSTITUTION DR (NB),NINA DR,Local,7000-001 CARAPACE DR From CONSTITUTION DR (NB) To NINA DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,61,2,1998/12/17 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 4,E07,96198,0.03249555,171.58,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,65.2810755671952
105,2458-001,FLEET TE,STEPHENS RD,E CUL-DE-SAC,Local,2458-001 FLEET TE From STEPHENS RD To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,80,2,1998/09/04 04:00:00+00,ALANTON,District 6,J04,27398,0.12266095,647.65,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,246.579845912092
106,0687-006,STEPHENS RD,COLUMBIA RD,FLEET TE,Local,0687-006 STEPHENS RD From COLUMBIA RD To FLEET TE,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,77,2,1998/09/04 04:00:00+00,ALANTON,District 6,J04,17674,0.02086432,110.16,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,42.1122517984968
107,0687-007,STEPHENS RD,FLEET TE,SEDDON CI,Local,0687-007 STEPHENS RD From FLEET TE To SEDDON CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,70,2,1998/09/04 04:00:00+00,ALANTON,District 6,J04,17675,0.08105744,427.98,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,163.606261369179
108,0687-008,STEPHENS RD,SEDDON CI,SEDDON CI,Local,0687-008 STEPHENS RD From SEDDON CI To SEDDON CI,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,70,2,1998/09/04 04:00:00+00,ALANTON,District 6,J04,17676,0.11203816,591.56,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,226.139233107858
109,4749-001,SEDDON CI,STEPHENS RD,E DEAD END,Local,4749-001 SEDDON CI From STEPHENS RD To E DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,82,2,1998/12/31 05:00:00+00,ALANTON,District 6,J04,26836,0.03477526,183.61,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,69.8911310980871
110,1989-001,CUTTY SARK RD,COLUMBIA RD,EAST RD,Local,1989-001 CUTTY SARK RD From COLUMBIA RD To EAST RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,76,2,1998/12/31 05:00:00+00,ALANTON ESTATES,District 6,J04,25826,0.20237542,1068.54,2024/08/21 21:27:27+00,2025,0.49,2024/09/09 18:16:58+00,408.475153113799
111,1989-002,CUTTY SARK RD,EAST RD,N CUL-DE-SAC,Local,1989-002 CUTTY SARK RD From EAST RD To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,79,2,1998/12/31 05:00:00+00,ALANTON ESTATES,District 6,J04,25827,0.09066843,478.73,2024/08/21 21:27:27+00,2025,0.25,2024/09/09 18:16:58+00,182.945412603623
112,3847-001,MYSTIC COVE CT,MYSTIC COVE DR,N CUL-DE-SAC,Local,3847-001 MYSTIC COVE CT From MYSTIC COVE DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,74,2,1998/12/31 05:00:00+00,MARINERS LANDING,District 9,G03,41043,0.09666254,510.38,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,194.570024566784
113,3848-002,MYSTIC COVE DR,CHESTERFIELD AV,ROCKBRIDGE RD,Local,3848-002 MYSTIC COVE DR From CHESTERFIELD AV To ROCKBRIDGE RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,44,0,80,2,1998/12/02 05:00:00+00,MARINERS LANDING,District 9,G03,22285,0.0221164,116.77,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,44.5811312929751
114,0316-001,CHESTERFIELD AV,MYSTIC COVE DR,STRATFORD RD E,Local,0316-001 CHESTERFIELD AV From MYSTIC COVE DR To STRATFORD RD E,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,20,0,69,2,1998/12/31 05:00:00+00,MARINERS LANDING,District 9,G03,97810,0.15456843,816.12,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,311.067195378329
115,3848-003,MYSTIC COVE DR,ROCKBRIDGE RD,PENDLETON AV,Local,3848-003 MYSTIC COVE DR From ROCKBRIDGE RD To PENDLETON AV,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,70,2,1998/12/02 05:00:00+00,MARINERS LANDING,District 9,G03,22286,0.0588175,310.56,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,118.577442962302
116,3848-004,MYSTIC COVE DR,PENDLETON AV,CLIPPER BAY DR,Local,3848-004 MYSTIC COVE DR From PENDLETON AV To CLIPPER BAY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,78,2,1998/12/02 05:00:00+00,MARINERS LANDING,District 9,G03,22287,0.07957294,420.15,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,160.243713810104
117,1769-001,CLIPPER BAY DR,OCEAN TIDES DR,WHISPERING SANDS LA,Local,1769-001 CLIPPER BAY DR From OCEAN TIDES DR To WHISPERING SANDS LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,27,0,76,2,1998/12/31 05:00:00+00,MARINERS LANDING,District 9,G03,19359,0.04077065,215.27,2024/08/21 21:27:27+00,2025,0.09,2024/09/09 18:16:58+00,81.961769931754
118,1769-002,CLIPPER BAY DR,WHISPERING SANDS LA,MYSTIC COVE DR,Local,1769-002 CLIPPER BAY DR From WHISPERING SANDS LA To MYSTIC COVE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,32,0,75,2,1998/12/31 05:00:00+00,MARINERS LANDING,District 9,G03,19360,0.04032383,212.91,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,81.088305677568
119,1079-001,BARRINGTON DR,E CUL-DE-SAC,BARRINGTON CT,Local,1079-001 BARRINGTON DR From E CUL-DE-SAC To BARRINGTON CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,49,0,64,2,1998/11/03 05:00:00+00,THE LAKES,District 10,H09,18408,0.03637905,192.08,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,73.1072379739517
120,1079-002,BARRINGTON DR,BARRINGTON CT,RIVERBEND RD (NB),Local,1079-002 BARRINGTON DR From BARRINGTON CT To RIVERBEND RD (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,61,2,1998/11/03 05:00:00+00,THE LAKES,District 10,H09,18407,0.03852553,203.41,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,77.3824007278907
121,1078-001,BARRINGTON CT,BARRINGTON DR,N CUL-DE-SAC,Local,1078-001 BARRINGTON CT From BARRINGTON DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,50,0,58,2,1998/11/03 05:00:00+00,THE LAKES,District 10,H09,18406,0.0261688,138.17,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,52.7183836080925
122,4263-001,POCASSET CT,ASHAWAY RD,S CUL-DE-SAC,Local,4263-001 POCASSET CT From ASHAWAY RD To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,44,0,58,2,1999/06/11 04:00:00+00,THE LAKES,District 10,H09,27651,0.034446,181.87,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,69.4519351699432
123,3632-001,MATUNUCK CT,ASHAWAY RD,N CUL-DE-SAC,Local,3632-001 MATUNUCK CT From ASHAWAY RD To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,47,0,78,2,1998/12/31 05:00:00+00,THE LAKES,District 10,H09,27644,0.03176723,167.73,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,63.983569594467
124,5441-001,WAREHAM CT,ASHAWAY RD,N CUL-DE-SAC,Local,5441-001 WAREHAM CT From ASHAWAY RD To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,74,0,45,2,1998/12/31 05:00:00+00,THE LAKES,District 10,H09,24244,0.0183673,96.98,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,37.0342535511383
125,5780-001,WOODBURNE CT,WOODBURNE DR,N CUL-DE-SAC,Local,5780-001 WOODBURNE CT From WOODBURNE DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,53,0,68,2,1998/11/04 05:00:00+00,THE LAKES,District 10,H09,99070,0.02486194,131.27,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,50.1278672258256
126,5310-001,TRURO CT,ASHAWAY RD,S CUL-DE-SAC,Local,5310-001 TRURO CT From ASHAWAY RD To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,46,0,43,2,1998/12/31 05:00:00+00,THE LAKES,District 10,H09,24101,0.03517837,185.74,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,70.9302431185034
127,5596-001,WILDFLOWER CT,STONESHORE RD (WB),MERION CT,Local,5596-001 WILDFLOWER CT From STONESHORE RD (WB) To MERION CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,66,2,1998/11/03 05:00:00+00,THE LAKES,District 10,G09,24452,0.03688637,194.76,2024/08/21 21:27:27+00,2025,0.07,2024/09/09 18:16:58+00,74.343455778308
128,3704-001,MERION CT,WILDFLOWER CT,W CUL-DE-SAC,Local,3704-001 MERION CT From WILDFLOWER CT To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,45,0,69,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G09,22076,0.03286243,173.51,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,66.0093411953945
129,5716-001,WOODHUE CT,STONESHORE RD (WB),N CUL-DE-SAC,Local,5716-001 WOODHUE CT From STONESHORE RD (WB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,46,0,81,2,1998/12/31 05:00:00+00,THE LAKES,District 10,G09,24613,0.09423106,497.54,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,189.772621553716
130,5596-003,WILDFLOWER CT,STONESHORE RD (WB),N CUL-DE-SAC,Local,5596-003 WILDFLOWER CT From STONESHORE RD (WB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,34,0,63,2,1899/12/30 05:00:00+00,THE LAKES,District 10,G09,354522,0.1272298,671.77,2024/08/21 21:27:27+00,2025,0.36,2024/09/09 18:16:58+00,256.02681723486
